Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	1_01	1_02	1_03	1_04	1_05	1_06	1_07	1_08	1_09	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	1_24	1_25	1_26	1_27	1_28	1_29	1_30	1_31	1_32	1_33	1_34	1_35	1_36	1_37	1_38	1_39	1_40	2_01	2_02	2_03	2_04	2_05	2_06	2_07	2_08	2_09	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	2_24	2_25	2_26	2_27	2_28	2_29	2_30	2_31	2_32	2_33	2_34	2_35	2_36	2_37	2_38	2_39	2_40	3_01	3_02	3_03	3_04	3_05	3_06	3_07	3_08	3_09	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	3_24	3_25	3_26	3_27	3_28	3_29	3_30	3_31	3_32	3_33	3_34	3_35	3_36	3_37	3_38	3_39	3_40	4_01	4_02	4_03	4_04	4_05	4_06	4_07	4_08	4_09	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	4_24	4_25	4_26	4_27	4_28	4_29	4_30	4_31	4_32	4_33	4_34	4_35	4_36	4_37	4_38	4_39	4_40	5_01	5_02	5_03	5_04	5_05	5_06	5_07	5_08	5_09	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	5_24	5_25	5_26	5_27	5_28	5_29	5_30	5_31	5_32	5_33	5_34	5_35	5_36	5_37	5_38	5_39	5_40	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23	6_24	6_25	6_26	6_27	6_28	6_29	6_30	6_31	6_32	6_33	6_34	6_35	6_36	6_37	6_38	6_39	6_40	7_1	7_2	7_3	7_4	7_5	7_6	7_7	7_8	7_9	7_10	7_11	7_12	7_13	7_14	7_15	7_16	7_17	7_18	7_19	7_20	7_21	7_22	7_23	7_24	7_25	7_26	7_27	7_28	7_29	7_30	7_31	7_32	7_33	7_34	7_35	7_36	7_37	7_38	7_39	7_40	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	8_22	8_23	8_24	8_25	8_26	8_27	8_28	8_29	8_30	8_31	8_32	8_33	8_34	8_35	8_36	8_37	8_38	8_39	8_40	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_16	9_17	9_18	9_19	9_20	9_21	9_22	9_23	9_24	9_25	9_26	9_27	9_28	9_29	9_30	9_31	9_32	9_33	9_34	9_35	9_36	9_37	9_38	9_39	9_40	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14	10_15	10_16	10_17	10_18	10_19	10_20	10_21	10_22	10_23	10_24	10_25	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34	10_35	10_36	10_37	10_38	10_39	10_40
A0A0F9WE11	A0A0F9WE11	A0A0F9WE11_9MICR	AAJ76_1500018854	26s proteasome alpha-type subunit c9																																									4082.48	8484.98	58382.6	228221	221966	98272.1	39382.6	18217.2	4581.97	4606.88	11967.5	1790.4	2359.87	4505.08																																																																						47480.4	201935			30999.2	13654.4	9834.96		5811.1	5367.24																																																																					5760.78			7600.27	8211.13	21319.1	199130	370162	140847	51524.5	16268.4	10226.5	6447.7	2903.06	3134.84	3468.07	2292.57	1525.39	1158.42																																																													7253.06			39434.2	219796	191749	96077.2	24339.8	11505.5	10214.5	7335.94																																																																								6661.08	40143.2	104617	101040	28435.7	11509.5	4873.72	2842.22	2234.51	2428.78			2703.54																									
A0A0F9WFB6	A0A0F9WFB6	A0A0F9WFB6_9MICR	AAJ76_210002401	Heat shock protein 70																			3198.11																															2385.33	2379.46	2738.6	2136.07	2691.94	8609.83	10672.5	4845.02	2208.35	1416.39	3402.58	7856.66	10053.5	6495.34	4428.43	4861.33				7907.43	19312.2			17758.2	7836.1		5559.2															9696.34							905.041																																2100.23			2020.66	1620.65		2120.61	10507.7	7422.61	3126.43	1454.52	2784.65	2404.1	6059.98	8013.87	5094.89	2793.45	4524.19				17173.7			11219.5																2476.33			3500.93		4595.26	2548.74		171.536	8268.13	4366.78		3214.27										4158.17																							1870.27	2920.83	2862.99	2287.05	4273.99	8794.57	5874.21	3793.21	1994.94	3292.23	11871.1	33953.4	20882.3	12172.8	11901.5	9697.96	6742.45		6463.86	25768.6		14628	14839.7		22058.8														8368.83			15985.9	1482.44	7454.59																																			8124.57	2381.26	2782.86	4346.61	10520.2	9606.11	4447.83	1997.74	1844.98	6019.91	9654.86	8385.21	6741.78	4775.6	6006.52				22386.8																			2772.92			9041.82		13818.6							5658.64												17351																		15879.3					5578.55	1142.65				1076.25	1297.66	1077.92																
A0A0F9WFG6	A0A0F9WFG6	A0A0F9WFG6_9MICR	AAJ76_2000044444	Nucleoside diphosphate kinase																																																										1119.73	1373.15	1618.19	677.545						25689.4																																																																									1066.7	1443.69	1118.12																																																																												1012.92	2112.68	1118.04	1364.31	1551.56	3262.6	4002.78	1563.59	643.061	590.854	941.397		791.02																																																																				1044.58	1490.71		2394.34	1759.44																																																																																																		
A0A0F9WFN8	A0A0F9WFN8	A0A0F9WFN8_9MICR	AAJ76_1800031824	Seryl-tRNA synthetase																																																							2523.59																																																																																																										1695.79																																																										497.432	1203.06																																																																																																																																																																																				
A0A0F9WG25	T0L2H6;A0A0F9WG25	A0A0F9WG25_9MICR	AAJ76_1400025278	26s proteasome regulatory subunit 7																																									41946.1	27711.2	19403.5	19787.5	12312.5	11190.7	7931	4725.66	3129.25	1600.15	2262.38	1484.87		3976.69	2208.5	928.256								2701.38																																																									23852.8		9576.16	10754	7836.07			2144.21	6339.57			3249.94	4483.82																																											1356.88																																				3834.84							1091.7																																																														31217.1	15607.9	21000.1	20516.9	20946.1	15673.7	15555.9	10055	7254.57	4720.98	7567.59																																																																													7280.72																																
A0A0F9WGE6	A0A0F9WGE6	A0A0F9WGE6_9MICR	AAJ76_4000148369	Glutamate nmda receptor-associated protein 1																																																																	1576.53	6828.12																																																																										748.668																																																											3012.63																															5395.18	6661.59		5315.24	2703.49																																																																																																																																																																						
A0A0F9WGG5	A0A0F9WGG5	A0A0F9WGG5_9MICR	AAJ76_300017093	14-3-3 protein 1-like protein																																																					701.335				688.98	1915.53	1623.93	1701.61	1519.19																																																																														6481.38																																													1555.77																																					1132.68	1493.4	1059.5	977.825	1648.49	5989.35	2458.93	1413.66																																																																																																																																																																												
A0A0F9WH46	A0A0F9WH46	A0A0F9WH46_9MICR	AAJ76_900075697	Inorganic diphosphatase																																																		3137																																																																																																																																																																													1101.2	1969.67	841.54																																																																																																																																																																															
A0A0F9WH84	A0A0F9WH84	A0A0F9WH84_9MICR	AAJ76_1000110873	Elongation factor 2										5859.85																																																			6868.03	21251.7	6381.09	4601.35	7094.51	15444.6	15882.4	6719.44	19789.4	23596.8	176512	20897.6	8337.07	11508.2		7738.13																	5731.95																																																	782.164	7826.66	34096.7	18738.8	8881.59		2399.71		4767.81	6071.37	46405.8	75502.1	11573.1	27128.8	22949.3	19502.5	3721.23	10245.9	17644.7																									14848.5																																	6711.83	1323.02	699.738		799.67	411.325	1114.82	3603.88	7606.34	11772.4	7798.07	7931.86	7333.99	4272.47		5077.82	15224.1	13526.5	7394.38	14055.3	2459.61																																																																2388.85	13317	15189.9	8211.5	11996.3	11056.3	7449.16	6079.13	5453.89	29938.8	22760.1	25063.7	15161.8	42741.9				8021.41																																																															958.078	5977.18	8638.06	5603.34	3700.99	1450.02		2155.15		16597.4	31214.2	67580.4	46490.8	18690.5				12328.1	
A0A0F9WHM0	A0A0F9WHM0	A0A0F9WHM0_9MICR	AAJ76_7000109198	Glutamine--tRNA ligase																																																														549.16																																																																																																																																																																616.328	1579.18	666.723																																																																																																																																																																																
A0A0F9WIF6	A0A0F9WIF6	A0A0F9WIF6_9MICR	AAJ76_400088984	Nuclear condensin complex subunit																										8196.93																																							5121.4	15968.1	12825.5																																					1563.68	9526.6	10031.1	6006.78																																									12941.1	6220.1	3677.2																																				5917.27	12267.1	7608.91	6041.25																																									9956.5	7537.37																																				7464.85																																								24017.4	18529.2																			8133.84		13134.1																	2503.87		3305.88																																								8752.85												
A0A0F9WJ99	A0A0F9WJ99	A0A0F9WJ99_9MICR	AAJ76_100013594	Eukaryotic translation initiation factor eif2a																																																																																																																																																																																																																																		340.719	720.64																																																																																																																																																																													
A0A0F9WLZ9	A0A0F9WLZ9	A0A0F9WLZ9_9MICR	AAJ76_1200007387	Elongation factor 1																																																																				43610.2						12940.5		9393.07																																					10677.8		9286.09	17920.1		16563.3		18045.5																	1620.43								39839		331664	73017.5	102591		34256.4	2.68E+06	944431			690482																																				29935.8	23887.3					24929.3																																	15862.5		127153	64732	24204.7																																					27649.8		19130.4	23821.8																															3221.44	4973.13		13824.7	49354.4	102507		864923		659746					9656.94																															36571.6	21880.5					20860.9			23951.2																																		513581		337111				
A0A0F9WMI3	A0A0F9WMI3	A0A0F9WMI3_9MICR	AAJ76_900004661	Proteasome subunit beta																																												6728.74	6735.62	4977.59	1637.95																																																																																		4057.3																																																																															19266.4	65818.3	22674.8	9227.99	3494.96	2574.28	2958.4																																																																								10632.8	15614.9																										2905.1																										1218.85																																																													
A0A0F9WPM4	A0A0F9WPM4	A0A0F9WPM4_9MICR	AAJ76_4000025484	Serine protease inhibitor family protein																																5309.73																														1639.34																																																																																	1732.95	2231.89																																								688.256																																									1126.25	2791.18	2196.2	1676.34	1272.67		879.622																																4674.78																																												5380																																																																												902.435																	
A0A0F9WPW7	A0A0F9WPW7	A0A0F9WPW7_9MICR	AAJ76_3600011925	Uncharacterized protein														5437.27																																							1682.11																																								1802.1	1870.49																																												860.965																																				952.383																																												1454.01		1811.48																																																																																																																																																																																				
A0A0F9WQX6	A0A0F9WQX6	A0A0F9WQX6_9MICR	AAJ76_2400023015	Proteasome subunit alpha type-2-a																																												8357.98	7469.35	4175.38					599.714																																																																																																																																																														9100.14		2940.18																																																																																																																																																																																													
A0A0F9WRK7	A0A0F9WRK7	A0A0F9WRK7_9MICR	AAJ76_1800027614	Protein transporter sec24																																																			647.563	2267.86	4325.26	3311.8	2213.39	667.808	474.598	665.639	880.935	612.833	502.893																														75.915																																											1077.51						375.481	1022.92	639.378																																																																																		265.418	172.318																																																																																																																																																																															
A0A0F9WS70	A0A0F9WS70	A0A0F9WS70_9MICR	AAJ76_1300017036	Ubiquitin																																																																			7083.58	7802.11	2589.8	4060.33																																																																															2749.53	6174.83																																																																																	3483.65		16309	3023.71	3471.34																																																																											7006.76																																																																																										
A0A0F9WSJ7	T0L1E5;A0A0F9WSJ7	A0A0F9WSJ7_9MICR	AAJ76_1100064476	60s ribosomal protein l35									2748.09																													10970			5510.19																											9491.96	9801.17	23605.4	17652.7	12489.4	14105	8749.08		9205.14			12818.9	7616.41																																																					3596.18																					6158.75	8472.54	13865.3	11742.2	6028.76	9884.1	14559.3																																									30470.6	14586	16261.3																														10938.6	26861.1																																															8170.56																													7861.64	37866	27136.8	24347.4	10800	18693.2		14142		10500	10349.3																																																																						16825.6	39165.9	20370.1		22183.2	12462.4	11076.3	7061.32		6856.5	11763.7
A0A0F9WVI9	A0A0F9WVI9	A0A0F9WVI9_9MICR	AAJ76_1000192213	SERPIN domain-containing protein																																																						1431.11						396.737	516.521	480.783	490.272																																1405.92																																																862.36	894.791																																																																								2775.41								399.21	1067.07	1273.96	728.225						9437.05	26298.3	13913	5787.73	6865.75							1839.32																						789.237																																				1266.69	1795.23		917.591						9614.46																																																																												1139.01													
A0A0F9YN59	A0A0F9YN59	A0A0F9YN59_9MICR	AAJ76_1090003417	Thioredoxin domain-containing protein																													1775.5																																					2695.7																																																																																		2555.38																																																																																		3543.38	7577.74		3467.35																																																																																																																																																																							
A0A0F9YNP7	A0A0F9YNP7	A0A0F9YNP7_9MICR	AAJ76_840002535	Uncharacterized protein																																																												1008.26	1071.96	677.066	1110.17																																																																															592.374	747.138																																																																																	389.6	1072.25	1347.69	1939.35	1109.16	1344.08																																																																									3271.54		1176.63	1157.52																																										706.668																																									2168.32												
A0A0F9YNX2	A0A0F9YNX2	A0A0F9YNX2_9MICR	AAJ76_790009990	Cytosol aminopeptidase			6135.88																																															5085.17	3195.54	3328.01	1133.52																																																						11401.1																									6625.74	5272.53	4007.03																																										7723.31																																						3738.65	7374.33	18187.7	7741.19	3764.73	1522.72																															5451.95																										9875.14														6240.3			5272.18		1323.49	4764.62																																																																																																								
A0A0F9YPI3	A0A0F9YPI3	A0A0F9YPI3_9MICR	AAJ76_6000021853	Ubiquitin-40s ribosomal protein s27a																																																																			3337.33																																																																																				2474.18																																																																																		8759.53																																																																																																																																																																							
A0A0F9YPK6	A0A0F9YPK6	A0A0F9YPK6_9MICR	AAJ76_5900022169	Protein disulfide isomerase																																																														836.384		1988			4627.59																																																																										1093.52				1215.36																																																																																	1584.43	3834.01	3221.7	1800	1939.72	4668.82		3965.4																																																																												6418.5																																																																																											
A0A0F9YPU5	A0A0F9YPU5	A0A0F9YPU5_9MICR	AAJ76_5300022527	Uncharacterized protein																																																										1869.85	2517.26		1228.65																																					1140.5																																																																																763.002	3407.24	3223.15	1688.35																																																																															3233.51	2716.77																																							2080.58																																																																																1151.59	1578.2																			
A0A0F9YQJ0	A0A0F9YQJ0	A0A0F9YQJ0_9MICR	AAJ76_4200014473	Isopentenyl-diphosphate Delta-isomerase																																																																710.385																																																																																																																																																																				1232.44	1038.14																																																																													2187.71																																																																																														
